"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"373782","783885","","1002","","Moisture change: -15.0%"
"385862","783885","","999","WWEIA Category code","3802"
"402245","783885","","999","WWEIA Category description","Soups"
"361417","783886","1","1001","","soup made with fish and/or shellfish"
"373783","783886","","1002","","Moisture change: -15.0%"
"385863","783886","","999","WWEIA Category code","3802"
"402246","783886","","999","WWEIA Category description","Soups"
"361418","783887","1","1001","","Caldo basico"
"385864","783887","","999","WWEIA Category code","3802"
"402247","783887","","999","WWEIA Category description","Soups"
"361419","783888","1","1001","","Caldo gallego"
"373784","783888","","1002","","Moisture change: -17.4%"
"385865","783888","","999","WWEIA Category code","3802"
"402248","783888","","999","WWEIA Category description","Soups"
"361752","784044","1","1001","","egg sandwich, NFS"
"376416","784044","","999","Fortification identifier code","2"
"386021","784044","","999","WWEIA Category code","3706"
"402404","784044","","999","WWEIA Category description","Egg/breakfast sandwiches (single code)"
"361753","784045","1","1001","","Jack-in-the-Box Ultimate Breakfast Sandwich"
"376417","784045","","999","Fortification identifier code","2"
"386022","784045","","999","WWEIA Category code","3706"
"402405","784045","","999","WWEIA Category description","Egg/breakfast sandwiches (single code)"
"361754","784046","1","1001","","McDonald's Egg McMuffin"
"361755","784046","2","1001","","Swanson Great Starts Egg, Canadian Style Bacon/Cheese on Muffin brkfst sandwich"
"361756","784046","3","1001","","Dunkin' Donuts Egg, Ham and Cheese breakfast sandwich"
"361757","784046","4","1001","","Jack-in-the-Box Breakfast Jack"
"376418","784046","","999","Fortification identifier code","1"
"386023","784046","","999","WWEIA Category code","3706"
"402406","784046","","999","WWEIA Category description","Egg/breakfast sandwiches (single code)"
"361758","784047","1","1001","","Hardee's Ham, Egg, & Cheese Biscuit"
"376419","784047","","999","Fortification identifier code","2"
"386024","784047","","999","WWEIA Category code","3706"
"402407","784047","","999","WWEIA Category description","Egg/breakfast sandwiches (single code)"
"361759","784048","1","1001","","McDonald's Bagel Ham, Egg and Cheese breakfast sandwich"
"361760","784048","2","1001","","Dunkin Donuts Egg, Ham and Cheese breakfast sandwich"
"376420","784048","","999","Fortification identifier code","2"
"386025","784048","","999","WWEIA Category code","3706"
"402408","784048","","999","WWEIA Category description","Egg/breakfast sandwiches (single code)"
"361761","784049","1","1001","","McDonald's Sausage McMuffin with Egg"
"361762","784049","2","1001","","Burger King Breakfast Buddy"
"376421","784049","","999","Fortification identifier code","1"
"386026","784049","","999","WWEIA Category code","3706"
"402409","784049","","999","WWEIA Category description","Egg/breakfast sandwiches (single code)"
"376422","784050","","999","Fortification identifier code","2"
"386027","784050","","999","WWEIA Category code","3706"
"402410","784050","","999","WWEIA Category description","Egg/breakfast sandwiches (single code)"
"361763","784051","1","1001","","Jack-in-the-Box Extreme Sausage sandwich"
"361764","784051","2","1001","","2 cheese slices, 2 sausage patties"
"376423","784051","","999","Fortification identifier code","2"
"386028","784051","","999","WWEIA Category code","3706"
"402411","784051","","999","WWEIA Category description","Egg/breakfast sandwiches (single code)"
"361765","784052","1","1001","","Swanson Great Starts Beefsteak, Egg & Cheese on a Muffin breakfast sandwich"
"376424","784052","","999","Fortification identifier code","2a"
"386029","784052","","999","WWEIA Category code","3706"
"402412","784052","","999","WWEIA Category description","Egg/breakfast sandwiches (single code)"
"376425","784053","","999","Fortification identifier code","1"
"386030","784053","","999","WWEIA Category code","3706"
"402413","784053","","999","WWEIA Category description","Egg/breakfast sandwiches (single code)"
"361766","784054","1","1001","","Swanson Great Starts Sausage, Egg and Cheese on a Biscuit breakfast sandwich"
"361767","784054","2","1001","","Burger King Biscuit with Sausage, Egg and Cheese"
"361768","784054","3","1001","","Jimmy Dean sandwich"
"376426","784054","","999","Fortification identifier code","1"
"386031","784054","","999","WWEIA Category code","3706"
"402414","784054","","999","WWEIA Category description","Egg/breakfast sandwiches (single code)"
"361769","784055","1","1001","","McDonald's Sausage, Egg & Cheese McGriddles"
"376427","784055","","999","Fortification identifier code","1"
"386032","784055","","999","WWEIA Category code","3706"
